Entity,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,1012444074.07495,,,,,,,,,,3207032512.94205,,,,,,,,,,,,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9826778783.9586,9899623588.45671,9594298745.72406,10353506787.3303,10614455231.931,10183317624.8822,10567304189.4353,11618269230.7692,14576896942.2424,17422375000,18703146374.829,20403713461.2972,24077470572.1325,27839460963.8201,25942622950.8197,25562251655.6291,27427161523.4918,25041372221.5084,24084572490.7063,23359294148.8656,19676167239.6584,20153871681.4159,21651791751.1832,
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,40477403219.5176,29675502269.5661,34590052812.1684,40614350197.2353,47554674590.9328,59775697061.0399,66985765439.1937,61792161168.0011,66490372105.1262,64867483193.1315,61649492816.5201,67523642262.4009,81910771993.9155,99627140274.3805,119162172468.268,136280689891.224,155463807112.889,189227050759.595,235718586901.129,206179982164.402,207477857918.919,227948349666.354,207376427020.815,209402444996.104,207818330723.835,186829940545.759,195305084919.138,215725534372.371,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1764967948916.6,1861873895109.02,2123130870381.97,2068555542410.98,2205966011811.5,2591620035485.19,2503665193657.4,2218689375140.99,2243225519617.65,2199957383336.88,1949953934033.54,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8,3677439129776.6,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,452328087.282876,462421998.525779,478058304.871118,466048469.22986,491689220.744875,497723960.589913,494004647.73437,502675542.001227,514267869.300758,536080148.097299,551230861.856506,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,1324733711.82922,1455035088.74594,1633741922.68737,1764268468.93991,1844674434.50371,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,166322222.222222,180437037.037037,191759259.259259,200418518.518519,215459259.259259,224037037.037037,236444444.444444,245781481.481481,258440740.740741,267740740.740741,335845814.814815,343119370.37037,337695740.740741,350091222.222222,374771481.481481,370370370.37037,390370370.37037,421375851.851852,458190185.185185,489074333.333333,493824407.407407,501025296.296296,485998000,501979259.259259,523666333.333333,535095851.851852,581484037.037037,562540740.740741,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,138247261092.977,139224732275.463,152915624326.966,143195607581.857,156162311731.598,185006961302.299,187632400365.599,173537588008.176,176992000955.11,177965224620.854,164158800460.219,164791416350.267,178635160297.415,218095997085.477,251373036671.062,264467308109.19,282884912894.33,319423370134.284,353361056079.716,321241396034.248,321995350346.501,344003209695.606,327148899962.146,343584385594.132,352993633221.281,301298464861.385,306899653409.601,324871968807.469,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,7073674721.12418,9734321854.02288,11356271335.9741,13081042400,14664237666.6667,16598679279.0698,18241691857.3544,20017908829.3254,21672526562.7869,22137599986.1056,24305116729.1851,25599311449.3848,27362875602.5011,21642882856.4247,22692574473.3467,36119047252.1794,38116351526.2862,44169678153.1566,48288967303.4896,48376555305.6902,53982886258.2205,57811180659.4545,60657780260.6792,62661773591.7203,66065015410.0468,68802092020.9448,72342967648.3354,75931656814.657,
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,62045099642.7774,45715367087.1001,48003298223.1178,49946455210.966,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.6476,54790245600.5846,54744714396.1666,56760288973.6703,67863829880.4832,85324998813.604,103198228458.588,117027304746.54,134977087734.008,171000691877.714,137211039898.193,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165874330876.321,159049096745.249,170370810917.971,
